Serial Number,Word,Meaning
1,abstract," A summary or an overview of a longer text, or the process of summarizing something. Also, it refers to art that doesn't attempt to represent reality, focusing instead on shapes and colors."
2,accelerate, To increase speed or rate; to speed up.
3,accuracy, The state of being correct or precise.
4,adaptation," The process of changing to fit a new environment or different conditions, or the result of this process."
5,advocate," To publicly support or recommend a particular cause or policy. Also, a person who advocates for something."
6,analysis," Detailed examination of the elements or structure of something, typically as a basis for discussion or interpretation."
7,annotate, To add notes of explanation to a text or diagram.
8,anticipate, To expect or predict something.
9,application, The action of putting something into operation. Also refers to software designed to fulfill a particular purpose.
10,approximate," Close to the actual, but not completely accurate or exact."
11,arbitrate," To settle a dispute or a difference, typically by an authoritative figure or a third party."
12,articulate," Having or showing the ability to speak fluently and coherently. Also, to express an idea or feeling fluently and coherently."
13,assimilate," To absorb and integrate (people, ideas, or culture) into a wider society or culture."
14,assumption," A thing that is accepted as true or as certain to happen, without proof."
15,atmosphere," The envelope of gases surrounding the earth or another planet. Also, the mood or feeling in a situation or place."
16,attribute, A quality or feature regarded as a characteristic or inherent part of someone or something.
17,biodiversity, The variety of life in the world or in a particular habitat or ecosystem.
18,biome," A large naturally occurring community of flora and fauna occupying a major habitat, e.g., forest or tundra."
19,biosphere," The regions of the surface, atmosphere, and hydrosphere of the earth (or analogous parts of other planets) occupied by living organisms."
20,capacity," The maximum amount that something can contain or produce. Also, the ability or power to do, experience, or understand something."
21,carbohydrate," A biological molecule consisting of carbon, hydrogen, and oxygen atoms, usually with a hydrogen:oxygen atom ratio of 2:1; the sugars, starches, and fibers found in fruits, grains, vegetables, and milk products."
22,catalyst," A substance that increases the rate of a chemical reaction without itself undergoing any permanent chemical change. Also, a person or thing that precipitates an event."
23,categorize, To place in a particular class or group.
24,cause," A person or thing that gives rise to an action, phenomenon, or condition."
25,character," The mental and moral qualities distinctive to an individual. Also, a person in a novel, play, or movie."
26,chronological, (Of a record of events) starting with the earliest and following the order in which they occurred.
27,citation," A quotation from or reference to a book, paper, or author, especially in a scholarly work."
28,civilisation, The stage of human social development and organization that is considered most advanced.
29,clarify, To make (a statement or situation) less confused and more clearly comprehensible.
30,classify, To arrange (a group of people or things) in classes or categories according to shared qualities or characteristics.
31,climate, The weather conditions prevailing in an area in general or over a long period.
32,collaborate," To work jointly on an activity, especially to produce or create something."
33,combustion, The process of burning something.
34,commentary, An expression of opinions or offering of explanations about an event or situation.
35,communicate," To share or exchange information, news, or ideas."
36,comparison, The act or instance of comparing.
37,compile," To collect (data, books, or materials) and assemble them in a detailed list or report."
38,component, A part or element of a larger whole.
39,composition," The nature of something's ingredients or constituents; the way in which a whole or mixture is made up. Also refers to a work of music, literature, or art."
40,compound," A thing that is composed of two or more separate elements; a mixture. Also, to make something worse or more intense."
41,comprehensive, Complete; including all or nearly all elements or aspects of something.
42,conclude," Bring (something) to an end. Also, to arrive at a judgment or opinion by reasoning."
43,concurrent," Existing, happening, or done at the same time."
44,condensation, The conversion of a vapor or gas to a liquid.
45,conductive, Having the property of conducting something (especially heat or electricity).
46,confirm," Establish the truth or correctness of (something previously believed, suspected, or feared to be the case)."
47,conflict," A serious disagreement or argument, typically a protracted one."
48,connotation, An idea or feeling that a word invokes in addition to its literal or primary meaning.
49,conservation," The action of conserving something, in particular. Preservation, protection, or restoration of the natural environment and of wildlife."
50,consistency," Conformity in the application of something, typically that which is necessary for the sake of logic, accuracy, or fairness."
51,constant, Occurring continuously over a period of time. A situation or state of affairs that does not change.
52,constitute, To be (a part) of a whole.
53,construct," To build or make (something, typically a building, road, or machine)."
54,consult, To seek information or advice from (someone with expertise in a particular area).
55,consume," To use up (a resource or space). Also, to eat or drink."
56,context," The circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood and assessed."
57,contrast," The state of being strikingly different from something else, typically something in juxtaposition or close association."
58,contribute," To give (something, especially money) in order to help achieve or provide something."
59,controversy," Disagreement, typically when prolonged, public, and heated."
60,convene, To come or bring together for a meeting or activity; assemble.
61,convert," To change the form, character, or function of something."
62,coordinate, To bring the different elements of (a complex activity or organization) into a relationship that will ensure efficiency or harmony.
63,core, The central or most important part of something.
64,correlation, A mutual relationship or connection between two or more things.
65,credible, Able to be believed; convincing.
66,criterion, A principle or standard by which something may be judged or decided.
67,critique," A detailed analysis and assessment of something, especially a literary, philosophical, or political theory."
68,culture," The arts and other manifestations of human intellectual achievement regarded collectively. Also, the customs, arts, social institutions, and achievements of a particular nation, people, or other social group."
69,cumulative," Increasing or increased in quantity, degree, or force by successive additions."
70,curriculum, The subjects comprising a course of study in a school or college.
71,data, Facts and statistics collected together for reference or analysis.
72,debate," A formal discussion on a particular topic in a public meeting or legislative assembly, in which opposing arguments are put forward."
73,decibel, A unit used to measure the intensity of a sound or the power level of an electrical signal by comparing it with a given level on a logarithmic scale.
74,decompose," To break down or decay, transforming into a different state or breaking into smaller parts."
75,deduce, To arrive at (a fact or a conclusion) by reasoning; draw as a logical conclusion.
76,define," To state or describe exactly the nature, scope, or meaning of."
77,demonstrate, To clearly show the existence or truth of (something) by giving proof or evidence.
78,density, The degree of compactness of a substance. 
79,depict, To represent or show (someone or something) in a picture or story.
80,derive, To obtain something from (a specified source).
81,describe, To give a detailed account in words of.
82,design," To decide upon the look and functioning of (a building, garment, or other object), typically by making a detailed drawing of it."
83,detail," An individual feature, fact, or item."
84,determine, To cause (something) to occur in a particular way; be the decisive factor in.
85,develop," Grow or cause to grow and become more mature, advanced, or elaborate."
86,device," A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment."
87,diagram," A simplified drawing showing the appearance, structure, or workings of something; a schematic representation."
88,dialect, A particular form of a language that is peculiar to a specific region or social group.
89,differentiate, To recognize or ascertain what makes (someone or something) different.
90,diffusion, The spreading of something more widely.
91,dimension," A measurable extent of some kind, such as length, breadth, depth, or height."
92,direct, To control the operation of; manage or govern.
93,discipline," The practice of training people to obey rules or a code of behavior, using punishment to correct disobedience."
94,discovery, The action or process of discovering or being discovered.
95,discriminate, To recognize a distinction; differentiate.
96,discuss, To talk about (something) with another person or group of people.
97,disease," A disorder of structure or function in a human, animal, or plant, especially one that produces specific signs or symptoms."
98,displace," To take over the place, position, or role of (someone or something)."
99,display, To make a prominent exhibition of (something) in a place where it can be easily seen.
100,dissect," To cut up (a body, part, or plant) to study its internal parts; also used figuratively to mean analyze something in detail."
101,distinguish, To recognize or treat (someone or something) as different.
102,distribute, To give out shares of something; to scatter or spread over an area.
103,diversity," The state of being diverse; variety, especially in terms of people's backgrounds, qualities, or cultures."
104,domain," An area of territory owned or controlled by a ruler or government; in computing, it refers to a distinct subset of the Internet with a common address."
105,dominate, To have a commanding influence over; to rule over.
106,draft, A preliminary version of a piece of writing; to draw up a preliminary version of a document or plan.
107,drama," A play for theatre, radio, or television; an exciting, emotional, or unexpected series of events or set of circumstances."
108,dynamic," Characterized by constant change, activity, or progress."
109,ecosystem, A biological community of interacting organisms and their physical environment.
